user_id,job_id,compute_hours,storage_gb,queries_run,date,cloud_provider,region,profile,job_type,instance_type,year,month,day,week,compute_per_query,avg_compute_per_user,usage_intensity,compute_cost,storage_cost,query_cost,region_mult,instance_mult,discount,total_cost
195,job_19,2.08,280.54,150,2026-01-01,gcp,us-east-1,low,ad-hoc,large,2026,1,1,1,0.0138666666666666,0.9985714285714286,medium,2.08,5.6108,0.15,1.0,2.0,1.0,7.840800000000001
129,job_35,0.75,93.39,197,2026-01-01,gcp,us-east-1,low,batch,small,2026,1,1,1,0.0038071065989847,1.936,low,0.375,1.8678000000000001,0.197,1.0,1.0,1.0,2.4398
116,job_19,0.1,142.65,435,2026-01-01,azure,us-west-2,low,ad-hoc,large,2026,1,1,1,0.0002298850574712,2.5308333333333333,low,0.11000000000000001,2.853,0.435,1.1,2.0,1.0,3.398
138,job_10,5.13,200.79,504,2026-01-01,gcp,us-west-2,medium,streaming,small,2026,1,1,1,0.0101785714285714,4.65,medium,2.8215000000000003,4.0158,0.504,1.1,1.0,1.0,7.3413
64,job_25,4.75,85.38,350,2026-01-01,azure,sa-east-1,medium,batch,medium,2026,1,1,1,0.0135714285714285,3.45,medium,4.2749999999999995,1.7076,0.35000000000000003,1.2,1.5,1.0,6.332599999999999
135,job_15,2.95,164.69,136,2026-01-01,gcp,sa-east-1,low,streaming,large,2026,1,1,1,0.0216911764705882,2.535,medium,3.54,3.2938,0.136,1.2,2.0,1.0,6.9698
97,job_35,3.14,227.68,1320,2026-01-01,aws,us-west-2,high,batch,small,2026,1,1,1,0.0023787878787878,9.324545454545454,medium,1.7270000000000003,4.5536,1.32,1.1,1.0,1.0,7.600600000000001
74,job_12,5.22,83.66,837,2026-01-01,azure,us-west-2,medium,batch,small,2026,1,1,1,0.0062365591397849,2.9016,medium,2.871,1.6732,0.837,1.1,1.0,1.0,5.3812
90,job_18,0.33,230.56,5,2026-01-01,aws,sa-east-1,low,batch,small,2026,1,1,1,0.066,2.216,low,0.198,4.6112,0.005,1.2,1.0,1.0,4.8142000000000005
36,job_46,1.83,260.25,307,2026-01-01,azure,us-west-2,low,batch,small,2026,1,1,1,0.0059609120521172,2.2348,low,1.0065000000000002,5.205,0.307,1.1,1.0,1.0,6.5185
197,job_6,6.98,25.69,168,2026-01-01,gcp,us-west-2,high,ad-hoc,small,2026,1,1,1,0.041547619047619,8.376333333333333,high,3.8390000000000004,0.5138,0.168,1.1,1.0,1.0,4.5208
184,job_13,3.44,273.9,232,2026-01-01,aws,us-west-2,low,streaming,medium,2026,1,1,1,0.0148275862068965,2.425135135135135,medium,2.838,5.478,0.232,1.1,1.5,1.0,8.547999999999998
118,job_48,0.01,366.03,997,2026-01-01,gcp,us-west-2,medium,batch,large,2026,1,1,1,1.0030090270812435e-05,2.977777777777778,low,0.011000000000000001,7.3206,0.997,1.1,2.0,1.0,8.3286
