user_id,job_id,compute_hours,storage_gb,queries_run,date,cloud_provider,region,profile,job_type,instance_type
195,job_19,2.08,280.54,150,2026-01-01,gcp,us-east-1,low,ad-hoc,large
129,job_35,0.75,93.39,197,2026-01-01,gcp,us-east-1,low,batch,small
116,job_19,0.1,142.65,435,2026-01-01,azure,us-west-2,low,ad-hoc,large
138,job_10,5.13,200.79,504,2026-01-01,gcp,us-west-2,medium,streaming,small
64,job_25,4.75,85.38,350,2026-01-01,azure,sa-east-1,medium,batch,medium
135,job_15,2.95,164.69,136,2026-01-01,gcp,sa-east-1,low,streaming,large
97,job_35,3.14,227.68,1320,2026-01-01,aws,us-west-2,high,batch,small
74,job_12,5.22,83.66,837,2026-01-01,azure,us-west-2,medium,batch,small
90,job_18,0.33,230.56,5,2026-01-01,aws,sa-east-1,low,batch,small
36,job_46,1.83,260.25,307,2026-01-01,azure,us-west-2,low,batch,small
197,job_6,6.98,25.69,168,2026-01-01,gcp,us-west-2,high,ad-hoc,small
184,job_13,3.44,273.9,232,2026-01-01,aws,us-west-2,low,streaming,medium
118,job_48,0.01,366.03,997,2026-01-01,gcp,us-west-2,medium,batch,large
199,job_12,1.75,468.45,146,2026-01-01,azure,sa-east-1,medium,batch,small
31,job_6,6.67,333.17,101,2026-01-01,azure,sa-east-1,low,ad-hoc,small
53,job_1,0.22,204.07,28,2026-01-01,azure,sa-east-1,low,ad-hoc,small
197,job_9,1.83,7.99,1296,2026-01-01,gcp,us-west-2,high,ad-hoc,large
185,job_33,0.12,196.61,331,2026-01-01,aws,sa-east-1,low,streaming,medium
187,job_6,1.71,23.14,438,2026-01-01,gcp,sa-east-1,low,ad-hoc,small
177,job_26,0.93,236.52,167,2026-01-01,gcp,us-east-1,low,batch,large
122,job_30,5.89,16.66,792,2026-01-01,gcp,sa-east-1,high,ad-hoc,small
4,job_32,1.1,302.7,315,2026-01-01,gcp,us-west-2,low,streaming,medium
47,job_26,1.52,169.37,217,2026-01-01,azure,sa-east-1,low,batch,large
154,job_19,1.1,463.4,126,2026-01-01,gcp,us-east-1,medium,ad-hoc,large
133,job_13,0.89,144.27,48,2026-01-01,aws,us-east-1,medium,streaming,medium
167,job_40,1.43,300.75,211,2026-01-01,azure,us-west-2,low,streaming,small
184,job_42,0.33,124.02,264,2026-01-01,aws,us-west-2,low,ad-hoc,small
